date,outlet,title,language,link,icon,comment,pic,video,e-paper,audio,audio2
"Dec. 9, 2025",Ny Teknik,"Hela samhället måste ställa om i AI-racet, inte bara ingenjörerna",Swedish,https://www.nyteknik.se/debatt/hela-samhallet-maste-stalla-om-i-ai-racet-inte-bara-ingenjorerna/4418718,text,,previews/nyteknik-ai-racet.jpg,,,,
"Oct. 5, 2025",Neuroscience News,"How Growing Up Changes the Way We Hear, and Feel, Music",English,https://neurosciencenews.com/music-mood-feeling-aging-29769/,text,,previews/neurosciencenews-music-mood-feeling.jpg,,,,
"Sept. 28, 2025",Omni,"Därför har din musiksmak inte utvecklats sen tonaren",Swedish,https://omni.se/darfor-har-din-musiksmak-inte-utvecklats-sen-tonaren/a/73bPqw,text,,previews/omni-musiksmak-inte-utvecklats.jpg,,,,
"Sept. 14, 2025",Deutschlandfunk,"Im Alter hat man weniger Lieblingslieder",German,https://www.deutschlandfunk.de/im-alter-hat-man-weniger-lieblingslieder-100.html,text,,previews/deutschlandfunk-lieblingslieder.jpg,,,,
"Sept. 14, 2025",Welt,"Im Alter hat man weniger Lieblingslieder",German,https://www.welt.de/newsticker/dpa_nt/infoline_nt/wissenschaft_nt/article68c6294af313976149c6ed43/Im-Alter-hat-man-weniger-Lieblingslieder.html,text,,previews/welt-lieblingslieder.jpg,,,,
"Sept. 14, 2025",Tagesspiegel,"Im Alter hat man weniger Lieblingslieder",German,https://www.tagesspiegel.de/wissen/studie-im-alter-hat-man-weniger-lieblingslieder-14324978.html,text,,previews/tagesspiegel-lieblingslieder.jpg,,,,
"Sept. 14, 2025",Sveriges Radio,"Studien visar så påverkar åldern din musiksmak",Swedish,https://www.sverigesradio.se/artikel/studien-visar-sa-paverkar-aldern-din-musiksmak,audio,,previews/sverigesradio-musiksmak.jpg,,,,
"Sept. 13, 2025",Sveriges Radio,Musiksmak smalnar av hos äldre – återvänder till det gamla välbekanta,Swedish,https://www.sverigesradio.se/artikel/musiksmak-smalnar-av-hos-aldre-atervander-till-det-gamla-valbekanta,audio,,previews/sr-musiksmak-smalnar.jpg,,,,
"Sept. 12, 2025",SVT,"Ny studie från JU: så förändras din musiksmak",Swedish,https://www.svt.se/nyheter/lokalt/jonkoping/nya-studien-fran-ju-sa-forandras-din-musiksmak,text,,previews/svt-ny-studie-musiksmak.jpg,,,,
"Sept. 12, 2025",Nautilus,"Does Musical Taste Narrow with Age?",English,https://nautil.us/does-musical-taste-narrow-with-age-1237216/,text,,previews/nautilus-musical-taste-narrow.jpg,,,,
"Sept. 11, 2025",SVT1 Kulturnyheterna,"Musiksmak ändras",Swedish,https://app.retriever-info.com/go-article/08407020250911b423b9c7aae9a241bcdfc9f7bd1e219f/2300398/monitor/search?type=jwt,video,,previews/svt1-kulturnyheterna.jpg,,,,
"Sept. 11, 2025",MDR,"Im Radio kommt nur noch Mist? Wie unser Alter den Musikgeschmack beeinflusst",German,https://www.mdr.de/wissen/psychologie-sozialwissenschaften/musik-hoeren-geschmack-veraendert-sich-im-alter-100.html,text,,previews/mdr-musik-hoeren.jpg,,,,
"Sept. 11, 2025",Manset,"Yaş artdıqca musiqi zövqü necə dəyişir?",Azerbaijani,https://www.manset.az/cemiyyet/151876/yas-artdiqca-musiqi-zovqu-nece-deyisirnbsp,text,,previews/manset-musiqi-zovqu.jpg,,,,
"Sept. 11, 2025","30Science","Più invecchiamo, meno canzoni preferite abbiamo",Italian,https://30science.com/2025/09/news/piu-invecchiamo-meno-canzoni-preferite-abbiamo/,text,,previews/30science-meno-canzoni-preferite.jpg,,,,
"Sept. 11, 2025",earth.com,"Music taste broadens in youth but narrows with age",English,https://www.earth.com/news/music-taste-broadens-in-youth-but-narrows-with-age/,text,,previews/earth-music-taste-narrows.jpg,,,,
"Sept. 11, 2025",ismorbo,"A medida que envejecemos, nuestro gusto musical se reduce a menos canciones, según estudio",Spanish,https://www.ismorbo.com/a-medida-que-envejecemos-nuestro-gusto-musical-se-reduce-a-menos-canciones-segun-estudio/,text,,previews/ismorbo-gusto-musical.jpg,,,,
"Sept. 11, 2025",quotidiano,"Quante canzoni preferite aggiungiamo alla playlist?",Italian,https://www.quotidiano.net/magazine/quante-canzoni-preferite-aggiungiamo-playlist-n4mmacal,text,,previews/quotidiano-canzoni-preferite.jpg,,,,
"Sept. 11, 2025",Big,"Musiqi zövqlərinin yaşla necə dəyişdiyi açıqlandı",Azerbaijani,https://big.az/564936-musiqi-zovqlerinin-yasla-nece-deyisdiyi-aciqlandi.html,text,,previews/big-musiqi-zovqleri.jpg,,,,
"Sept. 11, 2025",Si24,"Kako starost vpliva na glasbeni okus",Slovenian,https://si24.news/novice/2025-09-11-kako-starost-vpliva-na-glasbeni-okus,text,,previews/si24-glasbeni-okus.jpg,,,,
"Sept. 11, 2025",MeteoFor,"Nostalgia învinge noutatea: cum se schimbă gusturile muzicale odată cu vârsta",Romanian,https://meteofor.ro/news/stiinta-si-spatiu/nostalgia-invinge-noutatea-cum-se-schimba-gusturile-muzicale-odata-cu-varsta/,text,,previews/meteo-for-gusturi-muzicale.jpg,,,,
"Sept. 11, 2025",ZdrowiePolakow,"Nawyki słuchowe zmieniają się z wiekiem",Polish,https://zdrowie-polakow.pl/nawyki-sluchowe-zmieniaja-sie-z-wiekiem/,text,,previews/zdrowie-polakow-nawyki-sluchowe.jpg,,,,
"Sept. 10, 2025",El Debate,"Por qué con la edad tenemos menos canciones favoritas, según la ciencia",Spanish,https://www.eldebate.com/salud-y-bienestar/salud/20250910/edad-tenemos-menos-canciones-favoritas-segun-ciencia_332733.html,text,,previews/eldebate-canciones-favoritas.jpg,,,,
"Sept. 10, 2025",Gaffa,"Äldre lyssnar mindre på nytt – mer på favoriterna",Swedish,https://gaffa.se/nyheter/2025/september/aldre-lyssnar-mindre-pa-nytt-mer-pa-favoriterna/,text,,previews/gaffa-aldre-lyssnar.jpg,,,,
"Sept. 10, 2025",Dagens PS,Upptäckt: Det enda som blir smalare med åren,Swedish,https://www.dagensps.se/life-science/upptackt-det-enda-som-blir-smalare-med-aren/,text,,previews/dps-upptackt-smalare-med-aren.jpg,,,,
"Sept. 10, 2025",DR,"Jo ældre du bliver, desto mere snæver bliver din musiksmag",Danish,https://www.dr.dk/nyheder/kultur/jo-aeldre-du-bliver-desto-mere-snaever-bliver-din-musiksmag,text,,previews/dr-musiksmag-snaever.jpg,,,,
"Sept. 10, 2025",LizzyNet,"Soundtrack des Lebens",German,https://www.lizzynet.de/wws/9.php#/wws/soundtrack-des-lebens.php,text,,previews/lizzynet-soundtrack-lebens.jpg,,,,
"Sept. 10, 2025",Heute,"So wandelt sich unser Musikgeschmack mit dem Alter",German,https://www.heute.at/s/so-wandelt-sich-unser-musikgeschmack-mit-dem-alter-120129748,text,,previews/heute-musikgeschmack-alter.jpg,,,,
"Sept. 10, 2025",Kopalnia Wiedzy,"Im jesteśmy starsi, tym mniej utworów muzycznych nam się podoba. Gusta mamy już ustalone",Polish,"https://kopalniawiedzy.pl/muzyka-sluchanie-muzyki-rekomentacja-gusta-utwor,38112",text,,previews/kopalniawiedzy-muzyka-sluchanie.jpg,,,,
"Sept. 10, 2025",Onet,"Im jesteśmy starsi, tym mniej utworów muzycznych nam się podoba. Gusta mamy już ustalone",Polish,"https://www.onet.pl/informacje/kopalniawiedzypl/jak-zmieniaja-sie-muzyczne-gusta-po-40-roku-zycia/wxw2tnv,30bc1058",text,,previews/onet-muzyczne-gust.jpg,,,,
"Sept. 10, 2025",Qaynar,Musiqi zövqlərinin yaşla necə dəyişdiyi açıqlandı,Azerbaijani,https://qaynarinfo.az/az/musiqi-zoevqlerinin-yasla-nece-deyisdiyi-aciqlandi-1,text,,previews/qaynarinfo-musiqi-zovqleri.jpg,,,,
"Sept. 10, 2025",Poisk,"Что слушают в 15 и в 50. Исследование из Гетеборга удивило индустрию",Russian,https://poisknews.ru/psihologiya/chto-slushayut-v-15-i-v-50-issledovanie-iz-geteborga-udivilo-industriyu/,text,,previews/poisk-what-do-we-listen.jpg,,,,
"Sept. 10, 2025",Rambler,"Стало известно, как музыкальные вкусы меняются с возрастом",Russian,https://news.rambler.ua/tech/55275786-stalo-izvestno-kak-muzykalnye-vkusy-menyayutsya-s-vozrastom/,text,,previews/rambler-muzykalnye-vkusy.jpg,,,,
"Sept. 10, 2025",infobae,"Música y recuerdos: cómo la selección de canciones cambia con la edad",Spanish,https://www.infobae.com/tendencias/2025/09/10/musica-y-recuerdos-como-la-seleccion-de-canciones-cambia-con-la-edad/,text,,previews/infobae-musica-recuerdos.jpg,,,,
"Sept. 9, 2025",IFL Science,"As We Grow Older, Our Music Taste Appears To Narrow To Fewer Songs", English,https://www.iflscience.com/as-we-grow-older-our-music-taste-appears-to-narrow-to-fewer-songs-80750,text,,previews/iflscience-music-taste-narrows.jpg,,,,
"Sept. 9, 2025",Dagens Nyheter,Favoritlåtarna blir färre ju äldre vi blir,Swedish,https://www.dn.se/kultur/favoritlatarna-blir-farre-ju-aldre-vi-blir/,text,,previews/dn-favoritlatarna-farre.jpg,,,,
"Sept. 9, 2025",forskning.se,Från trender till nostalgi – vår musiksmak ändras med åldern,Swedish,https://www.forskning.se/2025/09/09/musiksmak-andras-med-aldern/,text,,previews/forskning-musiksmak-alder.jpg,,,,
"Sept. 9, 2025",Fortune Italia,"Musica: le preferenze cambiano con l’età, ecco come",Italian,https://www.fortuneita.com/2025/09/09/musica-le-preferenze-cambiano-con-leta-ecco-come/,text,,previews/fortune-musica-le-preferenze.jpg,,,,
"Sept. 9, 2025",RMF24,"Z wiekiem wracamy do ulubionych hitów z młodości. Naukowcy znaleźli odpowiedź",Polish,"https://www.rmf24.pl/nauka/news-z-wiekiem-wracamy-do-ulubionych-hitow-z-mlodosci-naukowcy-zn,nId,8018931",text,,previews/rmf24-wiekiem-wracamy.jpg,,,,
"Sept. 9, 2025",Scienmag,"As We Age, Our List of Favorite Songs Shrinks",English,https://scienmag.com/as-we-age-our-list-of-favorite-songs-shrinks/,text,,previews/scienmag-favorite-songs-shrinks.jpg,,,,
"Sept. 9, 2025",Lambertini,"Perché con l’età abbiamo sempre meno canzoni preferite: lo studio che svela come cambia il nostro gusto musicale",Italian,"https://lambertini.net/perche-con-leta-abbiamo-sempre-meno-canzoni-preferite-lo-studio-che-svela-come-cambia-il-nostro-gusto-musicale/",text,,previews/lambertini-gusto-musicale.jpg,,,,
"Sept. 9, 2025","yeeyi","分析15年数据显示：年龄越大听歌品味越个性化",Chinese,"https://www.yeeyi.com/news/details/2793189/",text,,previews/yeeyi-age-music-taste.jpg,,,,
"May, 8, 2025",GöteborgsPosten,Bästa gratis AI-apparna till mobilen – enligt experterna,Swedish,https://www.gp.se/livsstil/basta-gratis-ai-apparna-till-mobilen-enligt-experterna-.c913088a-ca59-4577-8a45-2525f67b5f63,text,,previews/gp-basta-gratis-ai-apparna.jpg,,,,
"Apr. 7, 2025",GöteborgsPosten,"AI har potentialen att lösa verkliga samhällsproblem, inte bara skapa dem",Swedish,https://www.gp.se/debatt/ai-har-potentialen-att-losa-verkliga-samhallsproblem-inte-bara-skapa-dem.23e57ffa-a0c3-4f12-8f12-64540a59d833,text,,previews/gp-ai-samhall-problem.jpg,,,,